,quantity_lsr_cqi,quantity_lsr_rsrp,quantity_lsr_rsrq,quantity_lsr_pusch_sinr,quantity_lsr_uplink_interference,customer_download_throughput_binned,quantity_lsr_ta_binned,Facebook,IP_OTHER,Youtube,Facebook Video,Whatsapp
7490,6.0,-111.0,-15.5,13.2,-113.72,1,0,0,0,0,0,0
7491,10.0,-114.5,-15.25,10.05,-115.13,0,0,0,0,1,0,0
7492,10.2,-106.0,-9.5,14.95,-115.517,1,0,0,0,1,0,0
7493,8.333,-113.0,-10.833,2.333,-116.687,1,0,0,0,0,1,0
7494,3.0,-110.0,-9.0,9.217,-118.334,1,0,0,0,1,0,0
7495,8.0,-106.667,-17.0,12.6,-115.693,0,0,0,0,0,0,0
7496,14.0,-104.0,-9.5,11.9,-114.18,0,0,0,0,0,0,0
7497,10.0,-92.0,-10.5,15.8,-115.52,0,0,0,0,1,0,0
7498,5.667000000000001,-113.917,-17.417,7.442,-115.13,0,0,0,0,0,0,1
7499,2.333,-121.0,-19.833,7.632999999999999,-117.343,1,0,0,0,1,0,0
7500,9.333,-89.333,-13.167,11.267,-111.507,0,0,1,0,0,0,0
7501,9.417,-97.5,-13.0,8.75,-112.703,1,0,0,0,1,0,0
7502,12.0,-93.0,-9.917,15.4,-116.26,0,0,0,0,1,0,0
7503,9.5,-108.5,-9.5,10.0,-113.715,0,0,0,0,1,0,0
7504,15.0,-89.0,-11.5,17.0,-118.07,0,0,0,0,1,0,0
7505,8.0,-105.333,-14.167,11.0,-114.2,1,0,0,0,0,0,0
7506,10.0,-92.5,-13.0,17.85,-116.825,0,0,0,0,0,0,0
7507,10.083,-89.333,-11.667,16.1,-115.055,0,0,0,0,0,1,0
7508,9.333,-104.0,-13.25,11.422,-116.528,0,0,0,0,0,0,1
7509,11.0,-104.0,-8.5,10.3,-114.88,0,0,0,0,0,0,0
7510,15.0,-88.0,-9.5,6.5,-115.14,0,0,0,0,1,0,0
7511,10.5,-112.5,-11.75,10.55,-119.35,0,0,0,0,0,0,0
7512,6.0,-115.0,-14.0,10.8,-114.22,0,0,0,0,1,0,0
7513,6.9,-86.8,-17.6,14.105,-115.452,0,0,0,0,0,0,0
7514,10.0,-88.0,-11.5,-6.2,-117.17,0,0,0,0,0,0,0
7515,11.167,-90.0,-8.167,25.6,-118.3,0,0,0,0,0,0,0
7516,15.0,-113.0,-14.0,8.8,-117.7,0,0,0,0,1,0,0
7517,3.0,-110.0,-20.0,12.7,-113.85,1,0,0,0,1,0,0
7518,13.0,-96.1,-9.9,9.796,-114.668,0,0,0,0,0,0,0
7519,10.889,-112.0,-13.5,5.956,-116.97,1,0,0,0,0,0,0
